elbo_loss_step,epoch,step,elbo_loss_epoch,train_loss,train_elbo_loss
0.4304221570491791,0,49,,,
,0,78,0.5189272165298462,0.5178499221801758,0.5178499221801758
0.3668668270111084,1,99,,,
0.2759987711906433,1,149,,,
,1,157,0.331257700920105,0.3310651481151581,0.3310651481151581
0.2322334498167038,2,199,,,
,2,236,0.2628767192363739,0.2617717683315277,0.2617717683315277
0.21501858532428741,3,249,,,
0.21405936777591705,3,299,,,
,3,315,0.2270554006099701,0.22655627131462097,0.22655627131462097
0.2431633174419403,4,349,,,
,4,394,0.2037445604801178,0.2040027529001236,0.2040027529001236
0.18941569328308105,5,399,,,
0.19922934472560883,5,449,,,
,5,473,0.1955994814634323,0.19539155066013336,0.19539155066013336
0.2182355672121048,6,499,,,
0.1876116245985031,6,549,,,
,6,552,0.183341383934021,0.18302607536315918,0.18302607536315918
0.1700681895017624,7,599,,,
,7,631,0.17556627094745636,0.17523296177387238,0.17523296177387238
0.1633782833814621,8,649,,,
0.1796465516090393,8,699,,,
,8,710,0.16955968737602234,0.1692035049200058,0.1692035049200058
0.15360300242900848,9,749,,,
,9,789,0.16259852051734924,0.16283807158470154,0.16283807158470154
0.165007084608078,10,799,,,
0.16515958309173584,10,849,,,
,10,868,0.15895427763462067,0.15940196812152863,0.15940196812152863
0.16225844621658325,11,899,,,
,11,947,0.15566352009773254,0.15558955073356628,0.15558955073356628
0.15446624159812927,12,949,,,
0.13919849693775177,12,999,,,
,12,1026,0.14817029237747192,0.14844335615634918,0.14844335615634918
0.14856262505054474,13,1049,,,
0.12910990417003632,13,1099,,,
,13,1105,0.14649534225463867,0.14644724130630493,0.14644724130630493
0.15425466001033783,14,1149,,,
,14,1184,0.1432163268327713,0.14365553855895996,0.14365553855895996
0.13158954679965973,15,1199,,,
0.13974492251873016,15,1249,,,
,15,1263,0.1402297019958496,0.14005227386951447,0.14005227386951447
0.12650303542613983,16,1299,,,
,16,1342,0.13585974276065826,0.13638180494308472,0.13638180494308472
0.12844285368919373,17,1349,,,
0.141938254237175,17,1399,,,
,17,1421,0.1327236145734787,0.1330946683883667,0.1330946683883667
0.1411861628293991,18,1449,,,
0.12811540067195892,18,1499,,,
,18,1500,0.13127820193767548,0.13106192648410797,0.13106192648410797
0.12433496117591858,19,1549,,,
,19,1579,0.12800510227680206,0.1277208924293518,0.1277208924293518
0.13289645314216614,20,1599,,,
0.13131998479366302,20,1649,,,
,20,1658,0.12558269500732422,0.12536218762397766,0.12536218762397766
0.1272944211959839,21,1699,,,
,21,1737,0.12494449317455292,0.12483390420675278,0.12483390420675278
0.1257370561361313,22,1749,,,
0.11124350875616074,22,1799,,,
,22,1816,0.12232571095228195,0.12221702188253403,0.12221702188253403
0.11750565469264984,23,1849,,,
,23,1895,0.12034066021442413,0.12021484971046448,0.12021484971046448
0.1300601214170456,24,1899,,,
0.10752486437559128,24,1949,,,
,24,1974,0.11893884092569351,0.11879129707813263,0.11879129707813263
0.12407766282558441,25,1999,,,
0.11165374517440796,25,2049,,,
,25,2053,0.11754917353391647,0.11725292354822159,0.11725292354822159
0.12186643481254578,26,2099,,,
