elbo_loss_step,epoch,step,elbo_loss_epoch,train_loss,train_elbo_loss
0.7490870952606201,0,49,,,
,0,78,0.7947564125061035,0.7935798168182373,0.7935798168182373
0.6475658416748047,1,99,,,
0.5842177867889404,1,149,,,
,1,157,0.6432472467422485,0.6426773071289062,0.6426773071289062
0.6794959306716919,2,199,,,
,2,236,0.600732684135437,0.5992893576622009,0.5992893576622009
0.5292847752571106,3,249,,,
0.5110860466957092,3,299,,,
,3,315,0.5461695194244385,0.5456754565238953,0.5456754565238953
0.4776773452758789,4,349,,,
,4,394,0.4934416115283966,0.49422624707221985,0.49422624707221985
0.44979745149612427,5,399,,,
0.40979745984077454,5,449,,,
,5,473,0.4421204626560211,0.4409841299057007,0.4409841299057007
0.3967685401439667,6,499,,,
0.38383087515830994,6,549,,,
,6,552,0.4106127917766571,0.4100426435470581,0.4100426435470581
0.344292551279068,7,599,,,
,7,631,0.3793509602546692,0.3793127238750458,0.3793127238750458
0.34816786646842957,8,649,,,
0.3514912724494934,8,699,,,
,8,710,0.3532347083091736,0.35229817032814026,0.35229817032814026
0.3255666494369507,9,749,,,
,9,789,0.3281594514846802,0.3289753496646881,0.3289753496646881
0.30817970633506775,10,799,,,
0.30874428153038025,10,849,,,
,10,868,0.305002361536026,0.30462172627449036,0.30462172627449036
0.3273434042930603,11,899,,,
,11,947,0.29259106516838074,0.2918548882007599,0.2918548882007599
0.29957315325737,12,949,,,
0.2916039824485779,12,999,,,
,12,1026,0.2759074568748474,0.2761605679988861,0.2761605679988861
0.2981187701225281,13,1049,,,
0.2438782900571823,13,1099,,,
,13,1105,0.26338768005371094,0.26327741146087646,0.26327741146087646
0.25654977560043335,14,1149,,,
,14,1184,0.25376155972480774,0.25350430607795715,0.25350430607795715
0.23968885838985443,15,1199,,,
0.23774732649326324,15,1249,,,
,15,1263,0.24223193526268005,0.24123694002628326,0.24123694002628326
0.2605336904525757,16,1299,,,
,16,1342,0.23839189112186432,0.23772655427455902,0.23772655427455902
0.24946482479572296,17,1349,,,
0.2050369679927826,17,1399,,,
,17,1421,0.23136423528194427,0.23110046982765198,0.23110046982765198
0.21510007977485657,18,1449,,,
0.21744605898857117,18,1499,,,
,18,1500,0.2208666205406189,0.2205233871936798,0.2205233871936798
0.23401540517807007,19,1549,,,
,19,1579,0.2110680639743805,0.21156062185764313,0.21156062185764313
0.19235606491565704,20,1599,,,
0.2097012847661972,20,1649,,,
,20,1658,0.20424403250217438,0.20430852472782135,0.20430852472782135
0.19888029992580414,21,1699,,,
,21,1737,0.19883252680301666,0.198573037981987,0.198573037981987
0.17403404414653778,22,1749,,,
0.2107676863670349,22,1799,,,
,22,1816,0.19389311969280243,0.19323742389678955,0.19323742389678955
0.22155945003032684,23,1849,,,
,23,1895,0.18809261918067932,0.18856944143772125,0.18856944143772125
0.20131345093250275,24,1899,,,
0.15687376260757446,24,1949,,,
,24,1974,0.18294022977352142,0.1825656294822693,0.1825656294822693
0.18938079476356506,25,1999,,,
0.1888776570558548,25,2049,,,
,25,2053,0.174859881401062,0.1746932715177536,0.1746932715177536
0.16648834943771362,26,2099,,,
,26,2132,0.17337195575237274,0.17417290806770325,0.17417290806770325
0.158044695854187,27,2149,,,
0.1904325783252716,27,2199,,,
,27,2211,0.1680404096841812,0.16765548288822174,0.16765548288822174
0.14390607178211212,28,2249,,,
,28,2290,0.16296574473381042,0.16348201036453247,0.16348201036453247
0.15768878161907196,29,2299,,,
0.15257041156291962,29,2349,,,
,29,2369,0.15882711112499237,0.15884442627429962,0.15884442627429962
0.13810263574123383,30,2399,,,
,30,2448,0.15493446588516235,0.15483945608139038,0.15483945608139038
0.15850891172885895,31,2449,,,
0.1602124720811844,31,2499,,,
,31,2527,0.1549007147550583,0.15460205078125,0.15460205078125
0.14419078826904297,32,2549,,,
0.13563525676727295,32,2599,,,
,32,2606,0.1449490338563919,0.14509308338165283,0.14509308338165283
0.1517820507287979,33,2649,,,
,33,2685,0.14264072477817535,0.14270088076591492,0.14270088076591492
0.1492883414030075,34,2699,,,
0.13421505689620972,34,2749,,,
,34,2764,0.14126621186733246,0.14084745943546295,0.14084745943546295
0.14522482454776764,35,2799,,,
,35,2843,0.1400512158870697,0.14074073731899261,0.14074073731899261
0.1465625762939453,36,2849,,,
0.1338990330696106,36,2899,,,
,36,2922,0.13591714203357697,0.13565605878829956,0.13565605878829956
0.12492886185646057,37,2949,,,
0.13093999028205872,37,2999,,,
,37,3001,0.13533440232276917,0.13541272282600403,0.13541272282600403
0.11549157649278641,38,3049,,,
,38,3080,0.1333010196685791,0.1328822672367096,0.1328822672367096
0.12730500102043152,39,3099,,,
0.12538884580135345,39,3149,,,
,39,3159,0.13054437935352325,0.13024185597896576,0.13024185597896576
0.122289277613163,40,3199,,,
,40,3238,0.13201789557933807,0.13217681646347046,0.13217681646347046
0.11649645864963531,41,3249,,,
0.15681861340999603,41,3299,,,
,41,3317,0.12490356713533401,0.12458346784114838,0.12458346784114838
0.11764560639858246,42,3349,,,
,42,3396,0.1246660128235817,0.12439509481191635,0.12439509481191635
0.10967741161584854,43,3399,,,
0.12526090443134308,43,3449,,,
,43,3475,0.11972076445817947,0.11980673670768738,0.11980673670768738
0.1287667453289032,44,3499,,,
0.1414039582014084,44,3549,,,
,44,3554,0.12241896986961365,0.12240740656852722,0.12240740656852722
0.1208975687623024,45,3599,,,
,45,3633,0.11951890587806702,0.1199508011341095,0.1199508011341095
0.11858642846345901,46,3649,,,
0.11881676316261292,46,3699,,,
,46,3712,0.11500939726829529,0.1147451102733612,0.1147451102733612
0.09908830374479294,47,3749,,,
,47,3791,0.11529680341482162,0.11533738672733307,0.11533738672733307
0.11961404979228973,48,3799,,,
0.1320638656616211,48,3849,,,
,48,3870,0.11494841426610947,0.11452022194862366,0.11452022194862366
0.10571305453777313,49,3899,,,
0.08282409608364105,49,3949,,,
,49,3949,0.1153702661395073,0.11500978469848633,0.11500978469848633
0.11735446006059647,50,3999,,,
,50,4028,0.11226420849561691,0.11190945655107498,0.11190945655107498
0.12254456430673599,51,4049,,,
0.11492135375738144,51,4099,,,
,51,4107,0.11376280337572098,0.11356181651353836,0.11356181651353836
0.10207035392522812,52,4149,,,
