elbo_loss_step,epoch,step,elbo_loss_epoch,train_loss,train_elbo_loss
0.5062611699104309,0,49,,,
,0,78,0.5450381636619568,0.542662501335144,0.542662501335144
0.36628299951553345,1,99,,,
0.28666019439697266,1,149,,,
,1,157,0.3328901529312134,0.33284223079681396,0.33284223079681396
0.25860002636909485,2,199,,,
,2,236,0.25374019145965576,0.25316986441612244,0.25316986441612244
0.23188261687755585,3,249,,,
0.24544823169708252,3,299,,,
,3,315,0.22319255769252777,0.2228814661502838,0.2228814661502838
0.22154857218265533,4,349,,,
,4,394,0.20824550092220306,0.20837293565273285,0.20837293565273285
0.18706324696540833,5,399,,,
0.18786725401878357,5,449,,,
,5,473,0.19375039637088776,0.1932399421930313,0.1932399421930313
0.17806051671504974,6,499,,,
0.1695619523525238,6,549,,,
,6,552,0.18377329409122467,0.18343663215637207,0.18343663215637207
0.17940135300159454,7,599,,,
,7,631,0.17565368115901947,0.17597366869449615,0.17597366869449615
0.16156736016273499,8,649,,,
0.1713622361421585,8,699,,,
,8,710,0.17007461190223694,0.17003300786018372,0.17003300786018372
0.16886946558952332,9,749,,,
,9,789,0.16329294443130493,0.16349104046821594,0.16349104046821594
0.15159690380096436,10,799,,,
0.14937585592269897,10,849,,,
,10,868,0.15570320188999176,0.15556538105010986,0.15556538105010986
0.14216238260269165,11,899,,,
,11,947,0.14771397411823273,0.1478174775838852,0.1478174775838852
0.14253485202789307,12,949,,,
0.16242122650146484,12,999,,,
,12,1026,0.14087769389152527,0.14100296795368195,0.14100296795368195
0.12154009193181992,13,1049,,,
0.13316385447978973,13,1099,,,
,13,1105,0.13658182322978973,0.13685841858386993,0.13685841858386993
0.1264224648475647,14,1149,,,
,14,1184,0.129204660654068,0.1290368288755417,0.1290368288755417
0.12687242031097412,15,1199,,,
0.12584878504276276,15,1249,,,
,15,1263,0.12650682032108307,0.12642788887023926,0.12642788887023926
0.13060902059078217,16,1299,,,
,16,1342,0.12299782782793045,0.12270703166723251,0.12270703166723251
0.13184000551700592,17,1349,,,
0.11533714085817337,17,1399,,,
,17,1421,0.11778096854686737,0.11769956350326538,0.11769956350326538
0.12503135204315186,18,1449,,,
0.10268481820821762,18,1499,,,
,18,1500,0.11535422503948212,0.11549744755029678,0.11549744755029678
0.12138772010803223,19,1549,,,
,19,1579,0.11067983508110046,0.11053548008203506,0.11053548008203506
0.10994882136583328,20,1599,,,
0.12288233637809753,20,1649,,,
,20,1658,0.10904192179441452,0.10887365788221359,0.10887365788221359
0.10259610414505005,21,1699,,,
,21,1737,0.10409414023160934,0.10386478155851364,0.10386478155851364
0.09694420546293259,22,1749,,,
0.11151818186044693,22,1799,,,
,22,1816,0.10333437472581863,0.10339022427797318,0.10339022427797318
0.08909144997596741,23,1849,,,
,23,1895,0.09836987406015396,0.09818919748067856,0.09818919748067856
0.10117533057928085,24,1899,,,
0.09245651960372925,24,1949,,,
,24,1974,0.09760382026433945,0.09778023511171341,0.09778023511171341
0.09747286885976791,25,1999,,,
0.08768809586763382,25,2049,,,
,25,2053,0.09606049209833145,0.09595345705747604,0.09595345705747604
0.09748869389295578,26,2099,,,
,26,2132,0.09336186945438385,0.09312724322080612,0.09312724322080612
0.09170199930667877,27,2149,,,
0.0847424641251564,27,2199,,,
,27,2211,0.0915360152721405,0.09190593659877777,0.09190593659877777
0.09676001220941544,28,2249,,,
,28,2290,0.09106923639774323,0.09108956158161163,0.09108956158161163
0.08008816093206406,29,2299,,,
0.09437863528728485,29,2349,,,
,29,2369,0.08983924984931946,0.09007858484983444,0.09007858484983444
0.10178455710411072,30,2399,,,
,30,2448,0.08779256045818329,0.0875740498304367,0.0875740498304367
0.08540529757738113,31,2449,,,
0.08842829614877701,31,2499,,,
,31,2527,0.08685027807950974,0.08662271499633789,0.08662271499633789
0.0744558796286583,32,2549,,,
0.09029867500066757,32,2599,,,
,32,2606,0.08641792088747025,0.08634406328201294,0.08634406328201294
0.06614191085100174,33,2649,,,
,33,2685,0.0849422886967659,0.0852312371134758,0.0852312371134758
0.08481384068727493,34,2699,,,
0.0886073037981987,34,2749,,,
,34,2764,0.08401656150817871,0.08388970792293549,0.08388970792293549
0.07196850329637527,35,2799,,,
,35,2843,0.08144920319318771,0.08123448491096497,0.08123448491096497
0.08740808069705963,36,2849,,,
0.07679840177297592,36,2899,,,
,36,2922,0.08105939626693726,0.08163797855377197,0.08163797855377197
0.07928087562322617,37,2949,,,
0.07796774059534073,37,2999,,,
,37,3001,0.0812523290514946,0.08129116147756577,0.08129116147756577
0.08059728890657425,38,3049,,,
,38,3080,0.08088149130344391,0.08107570558786392,0.08107570558786392
0.08599045872688293,39,3099,,,
0.0903787612915039,39,3149,,,
,39,3159,0.07919427752494812,0.07921107113361359,0.07921107113361359
0.0854884460568428,40,3199,,,
,40,3238,0.07828783243894577,0.07801064848899841,0.07801064848899841
0.08351542055606842,41,3249,,,
0.07955868542194366,41,3299,,,
,41,3317,0.07722420990467072,0.07700078934431076,0.07700078934431076
0.07045918703079224,42,3349,,,
,42,3396,0.07658211886882782,0.07673101872205734,0.07673101872205734
0.06892968714237213,43,3399,,,
0.07326619327068329,43,3449,,,
,43,3475,0.07471191883087158,0.07477245479822159,0.07477245479822159
0.07220738381147385,44,3499,,,
0.06617320328950882,44,3549,,,
,44,3554,0.07414896786212921,0.07421129196882248,0.07421129196882248
0.07354705780744553,45,3599,,,
,45,3633,0.07348378002643585,0.07337542623281479,0.07337542623281479
0.06916855275630951,46,3649,,,
0.07348237931728363,46,3699,,,
,46,3712,0.07303670793771744,0.07276852428913116,0.07276852428913116
0.07291872054338455,47,3749,,,
,47,3791,0.0721423327922821,0.0721871554851532,0.0721871554851532
0.07319202274084091,48,3799,,,
0.06241477653384209,48,3849,,,
,48,3870,0.07100250571966171,0.07120029628276825,0.07120029628276825
0.07598115503787994,49,3899,,,
0.07623785734176636,49,3949,,,
,49,3949,0.0718005895614624,0.07184974104166031,0.07184974104166031
0.07824140042066574,50,3999,,,
,50,4028,0.07038699090480804,0.07059750705957413,0.07059750705957413
0.060279715806245804,51,4049,,,
0.0676228478550911,51,4099,,,
,51,4107,0.0699903592467308,0.07028594613075256,0.07028594613075256
0.05825335904955864,52,4149,,,
,52,4186,0.06980396807193756,0.06978998333215714,0.06978998333215714
0.06689595431089401,53,4199,,,
0.0729750245809555,53,4249,,,
,53,4265,0.06837933510541916,0.06824575364589691,0.06824575364589691
0.0694558396935463,54,4299,,,
,54,4344,0.06708232313394547,0.0672798603773117,0.0672798603773117
0.06748895347118378,55,4349,,,
0.07098749279975891,55,4399,,,
,55,4423,0.06941710412502289,0.0695788785815239,0.0695788785815239
0.06636130064725876,56,4449,,,
0.07123978435993195,56,4499,,,
,56,4502,0.06486941874027252,0.06492701172828674,0.06492701172828674
0.05827752873301506,57,4549,,,
,57,4581,0.06618107110261917,0.06600084155797958,0.06600084155797958
0.0768074169754982,58,4599,,,
0.06464019417762756,58,4649,,,
,58,4660,0.06644496321678162,0.06631357222795486,0.06631357222795486
0.07022152841091156,59,4699,,,
,59,4739,0.06442993879318237,0.0643092542886734,0.0643092542886734
0.07294243574142456,60,4749,,,
0.06098956614732742,60,4799,,,
,60,4818,0.06458474695682526,0.06439115852117538,0.06439115852117538
0.07009465992450714,61,4849,,,
,61,4897,0.06371688842773438,0.06369612365961075,0.06369612365961075
0.0638800784945488,62,4899,,,
0.06552765518426895,62,4949,,,
,62,4976,0.06265213340520859,0.06291080266237259,0.06291080266237259
0.07017212361097336,63,4999,,,
0.05915277823805809,63,5049,,,
,63,5055,0.06448305398225784,0.0643107146024704,0.0643107146024704
0.05628800019621849,64,5099,,,
,64,5134,0.061812665313482285,0.06177416443824768,0.06177416443824768
0.05577704682946205,65,5149,,,
0.06545000523328781,65,5199,,,
,65,5213,0.06210561469197273,0.062124062329530716,0.062124062329530716
0.06041352450847626,66,5249,,,
,66,5292,0.06279952079057693,0.0626625344157219,0.0626625344157219
0.06453710049390793,67,5299,,,
0.06385456770658493,67,5349,,,
,67,5371,0.06192304193973541,0.06199905648827553,0.06199905648827553
0.06688252836465836,68,5399,,,
0.04990477114915848,68,5449,,,
,68,5450,0.06145242974162102,0.06142542138695717,0.06142542138695717
0.0632961317896843,69,5499,,,
,69,5529,0.06189592927694321,0.061952441930770874,0.061952441930770874
0.06320607662200928,70,5549,,,
0.06948474049568176,70,5599,,,
,70,5608,0.05967959761619568,0.05966117978096008,0.05966117978096008
0.05577700957655907,71,5649,,,
,71,5687,0.05935376510024071,0.05930936336517334,0.05930936336517334
0.06106318533420563,72,5699,,,
0.061230577528476715,72,5749,,,
,72,5766,0.05935998633503914,0.05948038399219513,0.05948038399219513
0.0606660321354866,73,5799,,,
,73,5845,0.05970187485218048,0.059636734426021576,0.059636734426021576
0.05710918828845024,74,5849,,,
0.055114176124334335,74,5899,,,
,74,5924,0.05699055641889572,0.056948136538267136,0.056948136538267136
0.06275096535682678,75,5949,,,
0.054437797516584396,75,5999,,,
,75,6003,0.05886826291680336,0.059134673327207565,0.059134673327207565
0.054492466151714325,76,6049,,,
,76,6082,0.05766931176185608,0.057597313076257706,0.057597313076257706
0.054850365966558456,77,6099,,,
0.06433318555355072,77,6149,,,
,77,6161,0.05717542767524719,0.05703764036297798,0.05703764036297798
0.05968979373574257,78,6199,,,
,78,6240,0.0563439279794693,0.056367598474025726,0.056367598474025726
0.04880658537149429,79,6249,,,
0.05655615031719208,79,6299,,,
,79,6319,0.05810914188623428,0.058184944093227386,0.058184944093227386
0.06300514936447144,80,6349,,,
,80,6398,0.05629425123333931,0.05631605163216591,0.05631605163216591
0.06263072788715363,81,6399,,,
0.0550580769777298,81,6449,,,
,81,6477,0.05635809153318405,0.05627019703388214,0.05627019703388214
0.0492984801530838,82,6499,,,
0.059097275137901306,82,6549,,,
,82,6556,0.05512506142258644,0.05506006255745888,0.05506006255745888
0.05337769165635109,83,6599,,,
,83,6635,0.05626940354704857,0.05626368522644043,0.05626368522644043
0.054186124354600906,84,6649,,,
0.047890111804008484,84,6699,,,
,84,6714,0.05479345843195915,0.05466203764081001,0.05466203764081001
0.06329993903636932,85,6749,,,
,85,6793,0.054355688393116,0.05434274300932884,0.05434274300932884
0.05068010464310646,86,6799,,,
0.06141894310712814,86,6849,,,
,86,6872,0.054338134825229645,0.05424376577138901,0.05424376577138901
0.05149088427424431,87,6899,,,
0.059104073792696,87,6949,,,
,87,6951,0.054360345005989075,0.054269470274448395,0.054269470274448395
0.051394734531641006,88,6999,,,
,88,7030,0.05235991254448891,0.052548836916685104,0.052548836916685104
0.05404951423406601,89,7049,,,
0.044466014951467514,89,7099,,,
,89,7109,0.05441194400191307,0.05423592031002045,0.05423592031002045
0.05335039645433426,90,7149,,,
,90,7188,0.05252258852124214,0.052759282290935516,0.052759282290935516
0.04931940510869026,91,7199,,,
0.051590465009212494,91,7249,,,
,91,7267,0.05264553800225258,0.05265149101614952,0.05265149101614952
0.060382623225450516,92,7299,,,
,92,7346,0.0529426708817482,0.05302492529153824,0.05302492529153824
0.056879252195358276,93,7349,,,
0.05434977263212204,93,7399,,,
,93,7425,0.05207254737615585,0.052277930080890656,0.052277930080890656
0.052718259394168854,94,7449,,,
0.04706424102187157,94,7499,,,
,94,7504,0.05254042521119118,0.052542366087436676,0.052542366087436676
0.05084449052810669,95,7549,,,
,95,7583,0.05140627548098564,0.051358044147491455,0.051358044147491455
0.0502154715359211,96,7599,,,
0.04920615628361702,96,7649,,,
,96,7662,0.05095134675502777,0.0511106438934803,0.0511106438934803
0.057215288281440735,97,7699,,,
,97,7741,0.052597593516111374,0.05269552394747734,0.05269552394747734
0.04676290601491928,98,7749,,,
0.05092599242925644,98,7799,,,
,98,7820,0.05128377676010132,0.05111074447631836,0.05111074447631836
0.06239250674843788,99,7849,,,
0.040796492248773575,99,7899,,,
,99,7899,0.05117398127913475,0.051059041172266006,0.051059041172266006
0.049387719482183456,100,7949,,,
,100,7978,0.05043978989124298,0.05032046139240265,0.05032046139240265
0.05780390650033951,101,7999,,,
0.05330571159720421,101,8049,,,
,101,8057,0.05056609958410263,0.050460610538721085,0.050460610538721085
0.05216104909777641,102,8099,,,
,102,8136,0.05124243348836899,0.05142964795231819,0.05142964795231819
0.04802938178181648,103,8149,,,
0.04761100560426712,103,8199,,,
,103,8215,0.05027753859758377,0.050149284303188324,0.050149284303188324
0.053842466324567795,104,8249,,,
,104,8294,0.049468256533145905,0.04952380806207657,0.04952380806207657
0.04477614909410477,105,8299,,,
0.049537140876054764,105,8349,,,
,105,8373,0.04983018711209297,0.04971115663647652,0.04971115663647652
0.05022432655096054,106,8399,,,
0.04905910789966583,106,8449,,,
,106,8452,0.0491134375333786,0.049194514751434326,0.049194514751434326
0.04699280485510826,107,8499,,,
,107,8531,0.04894081503152847,0.04894387349486351,0.04894387349486351
0.04785025119781494,108,8549,,,
0.044566042721271515,108,8599,,,
,108,8610,0.04976864159107208,0.049882352352142334,0.049882352352142334
0.049384988844394684,109,8649,,,
,109,8689,0.04919317737221718,0.049097225069999695,0.049097225069999695
0.04895728453993797,110,8699,,,
0.0454476960003376,110,8749,,,
,110,8768,0.04834292456507683,0.048195745795965195,0.048195745795965195
0.049067217856645584,111,8799,,,
,111,8847,0.04778677597641945,0.04771079123020172,0.04771079123020172
0.04569500312209129,112,8849,,,
0.04132334887981415,112,8899,,,
,112,8926,0.04904882609844208,0.04898831993341446,0.04898831993341446
0.04400043189525604,113,8949,,,
0.04849216714501381,113,8999,,,
,113,9005,0.04741353914141655,0.047306403517723083,0.047306403517723083
0.04371058568358421,114,9049,,,
,114,9084,0.04804569110274315,0.047989748418331146,0.047989748418331146
0.049873773008584976,115,9099,,,
0.0435706190764904,115,9149,,,
,115,9163,0.04784834757447243,0.047949180006980896,0.047949180006980896
0.04773719608783722,116,9199,,,
,116,9242,0.046700265258550644,0.046537790447473526,0.046537790447473526
0.04213615506887436,117,9249,,,
0.043369192630052567,117,9299,,,
,117,9321,0.04688892140984535,0.046770982444286346,0.046770982444286346
0.043353043496608734,118,9349,,,
0.04328496754169464,118,9399,,,
,118,9400,0.04750750586390495,0.04738975316286087,0.04738975316286087
0.03911277651786804,119,9449,,,
,119,9479,0.046563055366277695,0.046699825674295425,0.046699825674295425
0.04730021208524704,120,9499,,,
0.04661577194929123,120,9549,,,
,120,9558,0.04753651097416878,0.047446154057979584,0.047446154057979584
0.04574136808514595,121,9599,,,
