elbo_loss_step,epoch,step,elbo_loss_epoch,train_loss,train_elbo_loss
0.4807579815387726,0,49,,,
,0,78,0.5940263867378235,0.591736912727356,0.591736912727356
0.40099984407424927,1,99,,,
0.3599347472190857,1,149,,,
,1,157,0.38226455450057983,0.3820270001888275,0.3820270001888275
0.3076724410057068,2,199,,,
,2,236,0.29836001992225647,0.29848235845565796,0.29848235845565796
0.2958996891975403,3,249,,,
0.2869567275047302,3,299,,,
,3,315,0.28292205929756165,0.2840271294116974,0.2840271294116974
0.24560369551181793,4,349,,,
,4,394,0.2694498896598816,0.2689884901046753,0.2689884901046753
0.25981318950653076,5,399,,,
0.2791149914264679,5,449,,,
,5,473,0.2678792476654053,0.2678907811641693,0.2678907811641693
0.2707376480102539,6,499,,,
0.25450706481933594,6,549,,,
,6,552,0.2619841694831848,0.26202428340911865,0.26202428340911865
0.2461385875940323,7,599,,,
,7,631,0.25697994232177734,0.2566099464893341,0.2566099464893341
0.26012709736824036,8,649,,,
0.24373263120651245,8,699,,,
,8,710,0.2522132396697998,0.2523375451564789,0.2523375451564789
0.25727805495262146,9,749,,,
,9,789,0.2509766221046448,0.2515435516834259,0.2515435516834259
0.25211524963378906,10,799,,,
0.26455992460250854,10,849,,,
,10,868,0.24199773371219635,0.2421080768108368,0.2421080768108368
0.23302015662193298,11,899,,,
,11,947,0.24414797127246857,0.2432394027709961,0.2432394027709961
0.2312115728855133,12,949,,,
0.2197982221841812,12,999,,,
,12,1026,0.2387343943119049,0.2383355051279068,0.2383355051279068
0.2426467388868332,13,1049,,,
0.2937610149383545,13,1099,,,
,13,1105,0.2358805239200592,0.2352776676416397,0.2352776676416397
0.26593121886253357,14,1149,,,
,14,1184,0.23575784265995026,0.2358410507440567,0.2358410507440567
0.24866710603237152,15,1199,,,
0.23950937390327454,15,1249,,,
,15,1263,0.23273734748363495,0.23222723603248596,0.23222723603248596
0.22894230484962463,16,1299,,,
,16,1342,0.22984179854393005,0.23010985553264618,0.23010985553264618
0.19210104644298553,17,1349,,,
0.198517307639122,17,1399,,,
,17,1421,0.22759343683719635,0.22694015502929688,0.22694015502929688
0.2019769847393036,18,1449,,,
0.2124396413564682,18,1499,,,
,18,1500,0.22365087270736694,0.2236737161874771,0.2236737161874771
0.21846258640289307,19,1549,,,
,19,1579,0.22202150523662567,0.22233912348747253,0.22233912348747253
0.20850567519664764,20,1599,,,
0.20691344141960144,20,1649,,,
,20,1658,0.21662651002407074,0.21628206968307495,0.21628206968307495
0.23295342922210693,21,1699,,,
,21,1737,0.21804013848304749,0.21719391644001007,0.21719391644001007
0.2155652940273285,22,1749,,,
