elbo_loss_epoch,train_loss,train_elbo_loss,epoch,step,elbo_loss_step
0.6822367906570435,0.677734911441803,0.677734911441803,0,39,
,,,1,49,0.540188193321228
0.5204415321350098,0.5194668173789978,0.5194668173789978,1,79,
,,,2,99,0.43259164690971375
0.4438871443271637,0.44753962755203247,0.44753962755203247,2,119,
,,,3,149,0.30451643466949463
0.3915306329727173,0.39002832770347595,0.39002832770347595,3,159,
,,,4,199,0.337515652179718
0.34450358152389526,0.3443398177623749,0.3443398177623749,4,199,
0.31023895740509033,0.3077978193759918,0.3077978193759918,5,239,
,,,6,249,0.271996408700943
0.2942997217178345,0.2919877767562866,0.2919877767562866,6,279,
,,,7,299,0.3165004551410675
0.2901466488838196,0.28767189383506775,0.28767189383506775,7,319,
,,,8,349,0.2816511392593384
0.27880796790122986,0.2796328067779541,0.2796328067779541,8,359,
,,,9,399,0.3815814256668091
0.27240189909935,0.27496081590652466,0.27496081590652466,9,399,
0.2728748321533203,0.27586042881011963,0.27586042881011963,10,439,
,,,11,449,0.2811276316642761
0.26957520842552185,0.26796895265579224,0.26796895265579224,11,479,
,,,12,499,0.24124585092067719
0.26229310035705566,0.2605121433734894,0.2605121433734894,12,519,
,,,13,549,0.2610647678375244
0.26073887944221497,0.2590586543083191,0.2590586543083191,13,559,
,,,14,599,0.25821059942245483
0.2627292275428772,0.26262331008911133,0.26262331008911133,14,599,
0.2615135610103607,0.2607569396495819,0.2607569396495819,15,639,
,,,16,649,0.26743900775909424
0.2524574398994446,0.25300106406211853,0.25300106406211853,16,679,
,,,17,699,0.2301839143037796
0.2549840211868286,0.25731977820396423,0.25731977820396423,17,719,
,,,18,749,0.27654725313186646
0.25407204031944275,0.2549334764480591,0.2549334764480591,18,759,
,,,19,799,0.42461612820625305
0.25640788674354553,0.2603502571582794,0.2603502571582794,19,799,
0.24683065712451935,0.24742989242076874,0.24742989242076874,20,839,
,,,21,849,0.24334438145160675
0.24269884824752808,0.2407948076725006,0.2407948076725006,21,879,
,,,22,899,0.2273305505514145
0.2476063221693039,0.2452528029680252,0.2452528029680252,22,919,
,,,23,949,0.24163632094860077
0.2462456226348877,0.2471178025007248,0.2471178025007248,23,959,
,,,24,999,0.23053526878356934
0.24529460072517395,0.24494870007038116,0.24494870007038116,24,999,
0.24039900302886963,0.23955504596233368,0.23955504596233368,25,1039,
,,,26,1049,0.250213623046875
0.23583251237869263,0.2361048012971878,0.2361048012971878,26,1079,
,,,27,1099,0.2641158998012543
